"index","sex","given","l","m","s"
"wfa",1,0,1.815151075,3.530203168,0.152385273
"wfa",1,0.5,1.547523128,4.003106424,0.146025021
"wfa",1,1.5,1.068795548,4.879525083,0.136478767
"wfa",1,2.5,0.695973505,5.672888765,0.129677511
"wfa",1,3.5,0.41981509,6.391391982,0.124717085
"wfa",1,4.5,0.219866801,7.041836432,0.121040119
"wfa",1,5.5,0.077505598,7.630425182,0.1182712
"wfa",1,6.5,-0.02190761,8.162951035,0.116153695
"wfa",1,7.5,-0.0894409,8.644832479,0.114510349
"wfa",1,8.5,-0.1334091,9.081119817,0.113217163
"wfa",1,9.5,-0.1600954,9.476500305,0.11218624
"wfa",1,10.5,-0.17429685,9.835307701,0.111354536
"wfa",1,11.5,-0.1797189,10.16153567,0.110676413
"wfa",1,12.5,-0.179254,10.45885399,0.110118635
"wfa",1,13.5,-0.17518447,10.7306256,0.109656941
"wfa",1,14.5,-0.16932268,10.97992482,0.109273653
"wfa",1,15.5,-0.1631139,11.20955529,0.10895596
"wfa",1,16.5,-0.15770999,11.4220677,0.108694678
"wfa",1,17.5,-0.15402279,11.61977698,0.108483324
"wfa",1,18.5,-0.15276214,11.80477902,0.108317416
"wfa",1,19.5,-0.15446658,11.9789663,0.108193944
"wfa",1,20.5,-0.15952202,12.14404334,0.108110954
"wfa",1,21.5,-0.16817926,12.30154103,0.108067236
"wfa",1,22.5,-0.1805668,12.45283028,0.108062078
"wfa",1,23.5,-0.19670196,12.59913494,0.108095077
"wfa",1,24.5,-0.216501213,12.74154396,0.108166006
"wfa",1,25.5,-0.239790488,12.88102276,0.108274706
"wfa",1,26.5,-0.266315853,13.01842382,0.108421025
"wfa",1,27.5,-0.295754969,13.1544966,0.10860477
"wfa",1,28.5,-0.327729368,13.28989667,0.108825681
"wfa",1,29.5,-0.361817468,13.42519408,0.109083424
"wfa",1,30.5,-0.397568087,13.56088113,0.109377581
"wfa",1,31.5,-0.434520252,13.69737858,0.109707646
"wfa",1,32.5,-0.472188756,13.83504622,0.110073084
"wfa",1,33.5,-0.510116627,13.97418299,0.110473254
"wfa",1,34.5,-0.547885579,14.1150324,0.1109074
"wfa",1,35.5,-0.58507011,14.25779618,0.111374787
"wfa",1,36.5,-0.621319726,14.40262749,0.111874514
"wfa",1,37.5,-0.656295986,14.54964614,0.112405687
"wfa",1,38.5,-0.689735029,14.69893326,0.112967254
"wfa",1,39.5,-0.721410388,14.85054151,0.11355811
"wfa",1,40.5,-0.751175223,15.00449143,0.114176956
"wfa",1,41.5,-0.778904279,15.16078454,0.114822482
"wfa",1,42.5,-0.804515498,15.31940246,0.115493292
"wfa",1,43.5,-0.828003255,15.48030313,0.116187777
"wfa",1,44.5,-0.849380372,15.64343309,0.116904306
"wfa",1,45.5,-0.86869965,15.80872535,0.117641148
"wfa",1,46.5,-0.886033992,15.97610456,0.118396541
"wfa",1,47.5,-0.901507878,16.14548194,0.119168555
"wfa",1,48.5,-0.915241589,16.31676727,0.11995532
"wfa",1,49.5,-0.927377772,16.4898646,0.120754916
"wfa",1,50.5,-0.938069819,16.66467529,0.121565421
"wfa",1,51.5,-0.94747794,16.84109948,0.122384927
"wfa",1,52.5,-0.955765694,17.01903746,0.123211562
"wfa",1,53.5,-0.963096972,17.1983908,0.124043503
"wfa",1,54.5,-0.969633434,17.37906341,0.124878992
"wfa",1,55.5,-0.975532355,17.56096245,0.125716348
"wfa",1,56.5,-0.980937915,17.74400082,0.126554022
"wfa",1,57.5,-0.986006518,17.92809121,0.127390453
"wfa",1,58.5,-0.99086694,18.11315625,0.128224294
"wfa",1,59.5,-0.995644402,18.29912286,0.129054277
"wfa",1,60.5,-1.000453886,18.48592413,0.129879257
"wfa",1,61.5,-1.005399668,18.67349965,0.130698212
"wfa",1,62.5,-1.010575003,18.86179576,0.131510245
"wfa",1,63.5,-1.016061941,19.05076579,0.132314586
"wfa",1,64.5,-1.021931241,19.24037019,0.133110593
"wfa",1,65.5,-1.028242376,19.43057662,0.133897752
"wfa",1,66.5,-1.035043608,19.62136007,0.134675673
"wfa",1,67.5,-1.042372125,19.8127028,0.13544409
"wfa",1,68.5,-1.050254232,20.0045944,0.13620286
"wfa",1,69.5,-1.058705595,20.19703171,0.136951959
"wfa",1,70.5,-1.067731529,20.39001872,0.137691478
"wfa",1,71.5,-1.077321193,20.58356862,0.138421673
"wfa",1,72.5,-1.087471249,20.77769565,0.139142773
