"sex","lh","l","m","s","p_type","p_value"
"boys",45,-0.3521,2.441,0.09182,"0.10th",1.863
"boys",45.1,-0.3521,2.4577,0.09176,"0.10th",1.876
"boys",45.2,-0.3521,2.4744,0.0917,"0.10th",1.889
"boys",45.3,-0.3521,2.4911,0.09164,"0.10th",1.902
"boys",45.4,-0.3521,2.5078,0.09159,"0.10th",1.915
"boys",45.5,-0.3521,2.5244,0.09153,"0.10th",1.928
"boys",45.6,-0.3521,2.5411,0.09147,"0.10th",1.941
"boys",45.7,-0.3521,2.5578,0.09141,"0.10th",1.954
"boys",45.8,-0.3521,2.5744,0.09135,"0.10th",1.967
"boys",45.9,-0.3521,2.5911,0.09129,"0.10th",1.98
"boys",46,-0.3521,2.6077,0.09124,"0.10th",1.993
"boys",46.1,-0.3521,2.6244,0.09118,"0.10th",2.006
"boys",46.2,-0.3521,2.6411,0.09112,"0.10th",2.019
"boys",46.3,-0.3521,2.6578,0.09106,"0.10th",2.032
"boys",46.4,-0.3521,2.6745,0.091,"0.10th",2.045
"boys",46.5,-0.3521,2.6913,0.09094,"0.10th",2.059
"boys",46.6,-0.3521,2.7081,0.09088,"0.10th",2.072
"boys",46.7,-0.3521,2.7249,0.09083,"0.10th",2.085
"boys",46.8,-0.3521,2.7417,0.09077,"0.10th",2.098
"boys",46.9,-0.3521,2.7586,0.09071,"0.10th",2.111
"boys",47,-0.3521,2.7755,0.09065,"0.10th",2.125
"boys",47.1,-0.3521,2.7925,0.09059,"0.10th",2.138
"boys",47.2,-0.3521,2.8095,0.09053,"0.10th",2.152
"boys",47.3,-0.3521,2.8266,0.09047,"0.10th",2.165
"boys",47.4,-0.3521,2.8437,0.09042,"0.10th",2.178
"boys",47.5,-0.3521,2.8609,0.09036,"0.10th",2.192
"boys",47.6,-0.3521,2.8782,0.0903,"0.10th",2.206
"boys",47.7,-0.3521,2.8955,0.09024,"0.10th",2.219
"boys",47.8,-0.3521,2.9129,0.09018,"0.10th",2.233
"boys",47.9,-0.3521,2.9304,0.09012,"0.10th",2.247
"boys",48,-0.3521,2.948,0.09007,"0.10th",2.261
"boys",48.1,-0.3521,2.9657,0.09001,"0.10th",2.274
"boys",48.2,-0.3521,2.9835,0.08995,"0.10th",2.289
"boys",48.3,-0.3521,3.0014,0.08989,"0.10th",2.303
"boys",48.4,-0.3521,3.0195,0.08983,"0.10th",2.317
"boys",48.5,-0.3521,3.0377,0.08977,"0.10th",2.331
"boys",48.6,-0.3521,3.056,0.08972,"0.10th",2.346
"boys",48.7,-0.3521,3.0745,0.08966,"0.10th",2.36
"boys",48.8,-0.3521,3.0931,0.0896,"0.10th",2.375
"boys",48.9,-0.3521,3.1119,0.08954,"0.10th",2.39
"boys",49,-0.3521,3.1308,0.08948,"0.10th",2.405
"boys",49.1,-0.3521,3.1499,0.08943,"0.10th",2.42
"boys",49.2,-0.3521,3.1691,0.08937,"0.10th",2.435
"boys",49.3,-0.3521,3.1884,0.08931,"0.10th",2.45
"boys",49.4,-0.3521,3.2079,0.08925,"0.10th",2.466
"boys",49.5,-0.3521,3.2276,0.08919,"0.10th",2.481
"boys",49.6,-0.3521,3.2473,0.08913,"0.10th",2.497
"boys",49.7,-0.3521,3.2672,0.08908,"0.10th",2.512
"boys",49.8,-0.3521,3.2873,0.08902,"0.10th",2.528
"boys",49.9,-0.3521,3.3075,0.08896,"0.10th",2.544
"boys",50,-0.3521,3.3278,0.0889,"0.10th",2.56
"boys",50.1,-0.3521,3.3482,0.08884,"0.10th",2.576
"boys",50.2,-0.3521,3.3688,0.08878,"0.10th",2.593
"boys",50.3,-0.3521,3.3894,0.08872,"0.10th",2.609
"boys",50.4,-0.3521,3.4102,0.08867,"0.10th",2.625
"boys",50.5,-0.3521,3.4311,0.08861,"0.10th",2.642
"boys",50.6,-0.3521,3.4522,0.08855,"0.10th",2.659
"boys",50.7,-0.3521,3.4733,0.08849,"0.10th",2.675
"boys",50.8,-0.3521,3.4946,0.08843,"0.10th",2.692
"boys",50.9,-0.3521,3.5161,0.08837,"0.10th",2.709
"boys",51,-0.3521,3.5376,0.08831,"0.10th",2.726
"boys",51.1,-0.3521,3.5593,0.08825,"0.10th",2.743
"boys",51.2,-0.3521,3.5812,0.08819,"0.10th",2.761
"boys",51.3,-0.3521,3.6032,0.08813,"0.10th",2.778
"boys",51.4,-0.3521,3.6254,0.08807,"0.10th",2.796
"boys",51.5,-0.3521,3.6477,0.08801,"0.10th",2.813
"boys",51.6,-0.3521,3.6702,0.08795,"0.10th",2.831
"boys",51.7,-0.3521,3.6929,0.08789,"0.10th",2.849
"boys",51.8,-0.3521,3.7157,0.08783,"0.10th",2.867
"boys",51.9,-0.3521,3.7388,0.08777,"0.10th",2.886
"boys",52,-0.3521,3.762,0.08771,"0.10th",2.904
"boys",52.1,-0.3521,3.7855,0.08765,"0.10th",2.923
"boys",52.2,-0.3521,3.8092,0.08759,"0.10th",2.941
"boys",52.3,-0.3521,3.833,0.08753,"0.10th",2.96
"boys",52.4,-0.3521,3.8571,0.08747,"0.10th",2.979
"boys",52.5,-0.3521,3.8814,0.08741,"0.10th",2.999
"boys",52.6,-0.3521,3.9059,0.08735,"0.10th",3.018
"boys",52.7,-0.3521,3.9306,0.08729,"0.10th",3.038
"boys",52.8,-0.3521,3.9555,0.08723,"0.10th",3.057
"boys",52.9,-0.3521,3.9806,0.08717,"0.10th",3.077
"boys",53,-0.3521,4.006,0.08711,"0.10th",3.098
"boys",53.1,-0.3521,4.0315,0.08705,"0.10th",3.118
"boys",53.2,-0.3521,4.0572,0.08699,"0.10th",3.138
"boys",53.3,-0.3521,4.0831,0.08693,"0.10th",3.159
"boys",53.4,-0.3521,4.1092,0.08687,"0.10th",3.179
"boys",53.5,-0.3521,4.1354,0.08681,"0.10th",3.2
"boys",53.6,-0.3521,4.1619,0.08675,"0.10th",3.221
"boys",53.7,-0.3521,4.1885,0.08669,"0.10th",3.242
"boys",53.8,-0.3521,4.2153,0.08663,"0.10th",3.264
"boys",53.9,-0.3521,4.2422,0.08657,"0.10th",3.285
"boys",54,-0.3521,4.2693,0.08651,"0.10th",3.307
"boys",54.1,-0.3521,4.2965,0.08645,"0.10th",3.328
"boys",54.2,-0.3521,4.3239,0.08639,"0.10th",3.35
"boys",54.3,-0.3521,4.3513,0.08633,"0.10th",3.372
"boys",54.4,-0.3521,4.3789,0.08627,"0.10th",3.394
"boys",54.5,-0.3521,4.4066,0.08621,"0.10th",3.416
"boys",54.6,-0.3521,4.4344,0.08615,"0.10th",3.438
"boys",54.7,-0.3521,4.4623,0.0861,"0.10th",3.46
"boys",54.8,-0.3521,4.4903,0.08604,"0.10th",3.483
"boys",54.9,-0.3521,4.5185,0.08598,"0.10th",3.505
"boys",55,-0.3521,4.5467,0.08592,"0.10th",3.527
"boys",55.1,-0.3521,4.575,0.08586,"0.10th",3.55
"boys",55.2,-0.3521,4.6034,0.0858,"0.10th",3.573
"boys",55.3,-0.3521,4.6319,0.08575,"0.10th",3.595
"boys",55.4,-0.3521,4.6605,0.08569,"0.10th",3.618
"boys",55.5,-0.3521,4.6892,0.08563,"0.10th",3.641
"boys",55.6,-0.3521,4.718,0.08558,"0.10th",3.664
"boys",55.7,-0.3521,4.7469,0.08552,"0.10th",3.687
"boys",55.8,-0.3521,4.7758,0.08546,"0.10th",3.71
"boys",55.9,-0.3521,4.8048,0.08541,"0.10th",3.733
"boys",56,-0.3521,4.8338,0.08535,"0.10th",3.756
"boys",56.1,-0.3521,4.8629,0.08529,"0.10th",3.779
"boys",56.2,-0.3521,4.892,0.08524,"0.10th",3.803
"boys",56.3,-0.3521,4.9212,0.08518,"0.10th",3.826
"boys",56.4,-0.3521,4.9504,0.08513,"0.10th",3.849
"boys",56.5,-0.3521,4.9796,0.08507,"0.10th",3.873
"boys",56.6,-0.3521,5.0088,0.08502,"0.10th",3.896
"boys",56.7,-0.3521,5.0381,0.08497,"0.10th",3.919
"boys",56.8,-0.3521,5.0673,0.08491,"0.10th",3.943
"boys",56.9,-0.3521,5.0966,0.08486,"0.10th",3.966
"boys",57,-0.3521,5.1259,0.08481,"0.10th",3.989
"boys",57.1,-0.3521,5.1551,0.08475,"0.10th",4.013
"boys",57.2,-0.3521,5.1844,0.0847,"0.10th",4.036
"boys",57.3,-0.3521,5.2137,0.08465,"0.10th",4.059
"boys",57.4,-0.3521,5.2429,0.0846,"0.10th",4.083
"boys",57.5,-0.3521,5.2721,0.08455,"0.10th",4.106
"boys",57.6,-0.3521,5.3014,0.08449,"0.10th",4.13
"boys",57.7,-0.3521,5.3306,0.08444,"0.10th",4.153
"boys",57.8,-0.3521,5.3598,0.08439,"0.10th",4.176
"boys",57.9,-0.3521,5.3889,0.08434,"0.10th",4.2
"boys",58,-0.3521,5.418,0.0843,"0.10th",4.223
"boys",58.1,-0.3521,5.4471,0.08425,"0.10th",4.246
"boys",58.2,-0.3521,5.4762,0.0842,"0.10th",4.269
"boys",58.3,-0.3521,5.5053,0.08415,"0.10th",4.293
"boys",58.4,-0.3521,5.5343,0.0841,"0.10th",4.316
"boys",58.5,-0.3521,5.5632,0.08406,"0.10th",4.339
"boys",58.6,-0.3521,5.5922,0.08401,"0.10th",4.362
"boys",58.7,-0.3521,5.621,0.08397,"0.10th",4.385
"boys",58.8,-0.3521,5.6499,0.08392,"0.10th",4.408
"boys",58.9,-0.3521,5.6787,0.08388,"0.10th",4.431
"boys",59,-0.3521,5.7074,0.08383,"0.10th",4.454
"boys",59.1,-0.3521,5.7361,0.08379,"0.10th",4.477
"boys",59.2,-0.3521,5.7647,0.08375,"0.10th",4.5
"boys",59.3,-0.3521,5.7933,0.0837,"0.10th",4.523
"boys",59.4,-0.3521,5.8217,0.08366,"0.10th",4.546
"boys",59.5,-0.3521,5.8501,0.08362,"0.10th",4.568
"boys",59.6,-0.3521,5.8784,0.08358,"0.10th",4.591
"boys",59.7,-0.3521,5.9067,0.08354,"0.10th",4.614
"boys",59.8,-0.3521,5.9348,0.0835,"0.10th",4.636
"boys",59.9,-0.3521,5.9628,0.08346,"0.10th",4.658
"boys",60,-0.3521,5.9907,0.08342,"0.10th",4.681
"boys",60.1,-0.3521,6.0185,0.08339,"0.10th",4.703
"boys",60.2,-0.3521,6.0461,0.08335,"0.10th",4.725
"boys",60.3,-0.3521,6.0737,0.08331,"0.10th",4.747
"boys",60.4,-0.3521,6.1011,0.08328,"0.10th",4.769
"boys",60.5,-0.3521,6.1284,0.08324,"0.10th",4.791
"boys",60.6,-0.3521,6.1556,0.08321,"0.10th",4.812
"boys",60.7,-0.3521,6.1827,0.08317,"0.10th",4.834
"boys",60.8,-0.3521,6.2096,0.08314,"0.10th",4.856
"boys",60.9,-0.3521,6.2365,0.08311,"0.10th",4.877
"boys",61,-0.3521,6.2632,0.08308,"0.10th",4.898
"boys",61.1,-0.3521,6.2899,0.08304,"0.10th",4.92
"boys",61.2,-0.3521,6.3164,0.08301,"0.10th",4.941
"boys",61.3,-0.3521,6.3428,0.08298,"0.10th",4.962
"boys",61.4,-0.3521,6.3692,0.08295,"0.10th",4.983
"boys",61.5,-0.3521,6.3954,0.08292,"0.10th",5.004
"boys",61.6,-0.3521,6.4215,0.0829,"0.10th",5.025
"boys",61.7,-0.3521,6.4475,0.08287,"0.10th",5.046
"boys",61.8,-0.3521,6.4735,0.08284,"0.10th",5.066
"boys",61.9,-0.3521,6.4993,0.08281,"0.10th",5.087
"boys",62,-0.3521,6.5251,0.08279,"0.10th",5.107
"boys",62.1,-0.3521,6.5508,0.08276,"0.10th",5.128
"boys",62.2,-0.3521,6.5764,0.08273,"0.10th",5.148
"boys",62.3,-0.3521,6.6019,0.08271,"0.10th",5.169
"boys",62.4,-0.3521,6.6273,0.08268,"0.10th",5.189
"boys",62.5,-0.3521,6.6527,0.08266,"0.10th",5.209
"boys",62.6,-0.3521,6.678,0.08264,"0.10th",5.229
"boys",62.7,-0.3521,6.7033,0.08261,"0.10th",5.25
"boys",62.8,-0.3521,6.7284,0.08259,"0.10th",5.27
"boys",62.9,-0.3521,6.7535,0.08257,"0.10th",5.289
"boys",63,-0.3521,6.7786,0.08255,"0.10th",5.309
"boys",63.1,-0.3521,6.8035,0.08253,"0.10th",5.329
"boys",63.2,-0.3521,6.8285,0.08251,"0.10th",5.349
"boys",63.3,-0.3521,6.8533,0.08249,"0.10th",5.369
"boys",63.4,-0.3521,6.8781,0.08247,"0.10th",5.389
"boys",63.5,-0.3521,6.9028,0.08245,"0.10th",5.408
"boys",63.6,-0.3521,6.9275,0.08243,"0.10th",5.428
"boys",63.7,-0.3521,6.9521,0.08241,"0.10th",5.447
"boys",63.8,-0.3521,6.9766,0.0824,"0.10th",5.467
"boys",63.9,-0.3521,7.0011,0.08238,"0.10th",5.486
"boys",64,-0.3521,7.0255,0.08236,"0.10th",5.506
"boys",64.1,-0.3521,7.0499,0.08235,"0.10th",5.525
"boys",64.2,-0.3521,7.0742,0.08233,"0.10th",5.544
"boys",64.3,-0.3521,7.0984,0.08232,"0.10th",5.564
"boys",64.4,-0.3521,7.1226,0.0823,"0.10th",5.583
"boys",64.5,-0.3521,7.1467,0.08229,"0.10th",5.602
"boys",64.6,-0.3521,7.1708,0.08228,"0.10th",5.621
"boys",64.7,-0.3521,7.1948,0.08227,"0.10th",5.64
"boys",64.8,-0.3521,7.2188,0.08225,"0.10th",5.659
"boys",64.9,-0.3521,7.2427,0.08224,"0.10th",5.678
"boys",65,-0.3521,7.2666,0.08223,"0.10th",5.697
"boys",65.1,-0.3521,7.2905,0.08222,"0.10th",5.716
"boys",65.2,-0.3521,7.3143,0.08221,"0.10th",5.735
"boys",65.3,-0.3521,7.338,0.0822,"0.10th",5.753
"boys",65.4,-0.3521,7.3617,0.08219,"0.10th",5.772
"boys",65.5,-0.3521,7.3854,0.08218,"0.10th",5.791
"boys",65.6,-0.3521,7.4091,0.08218,"0.10th",5.809
"boys",65.7,-0.3521,7.4327,0.08217,"0.10th",5.828
"boys",65.8,-0.3521,7.4563,0.08216,"0.10th",5.847
"boys",65.9,-0.3521,7.4799,0.08216,"0.10th",5.865
"boys",66,-0.3521,7.5034,0.08215,"0.10th",5.884
"boys",66.1,-0.3521,7.5269,0.08214,"0.10th",5.902
"boys",66.2,-0.3521,7.5504,0.08214,"0.10th",5.921
"boys",66.3,-0.3521,7.5738,0.08214,"0.10th",5.939
"boys",66.4,-0.3521,7.5973,0.08213,"0.10th",5.958
"boys",66.5,-0.3521,7.6206,0.08213,"0.10th",5.976
"boys",66.6,-0.3521,7.644,0.08213,"0.10th",5.994
"boys",66.7,-0.3521,7.6673,0.08212,"0.10th",6.013
"boys",66.8,-0.3521,7.6906,0.08212,"0.10th",6.031
"boys",66.9,-0.3521,7.7138,0.08212,"0.10th",6.049
"boys",67,-0.3521,7.737,0.08212,"0.10th",6.068
"boys",67.1,-0.3521,7.7602,0.08212,"0.10th",6.086
"boys",67.2,-0.3521,7.7834,0.08212,"0.10th",6.104
"boys",67.3,-0.3521,7.8065,0.08212,"0.10th",6.122
"boys",67.4,-0.3521,7.8296,0.08212,"0.10th",6.14
"boys",67.5,-0.3521,7.8526,0.08212,"0.10th",6.158
"boys",67.6,-0.3521,7.8757,0.08212,"0.10th",6.176
"boys",67.7,-0.3521,7.8986,0.08213,"0.10th",6.194
"boys",67.8,-0.3521,7.9216,0.08213,"0.10th",6.212
"boys",67.9,-0.3521,7.9445,0.08213,"0.10th",6.23
"boys",68,-0.3521,7.9674,0.08214,"0.10th",6.248
"boys",68.1,-0.3521,7.9903,0.08214,"0.10th",6.266
