"sex","lh","sd_type","sd_value"
"boys",45,"-4SD",1.71
"boys",45.1,"-4SD",1.722
"boys",45.2,"-4SD",1.734
"boys",45.3,"-4SD",1.747
"boys",45.4,"-4SD",1.759
"boys",45.5,"-4SD",1.771
"boys",45.6,"-4SD",1.783
"boys",45.7,"-4SD",1.795
"boys",45.8,"-4SD",1.807
"boys",45.9,"-4SD",1.819
"boys",46,"-4SD",1.831
"boys",46.1,"-4SD",1.843
"boys",46.2,"-4SD",1.855
"boys",46.3,"-4SD",1.867
"boys",46.4,"-4SD",1.88
"boys",46.5,"-4SD",1.892
"boys",46.6,"-4SD",1.904
"boys",46.7,"-4SD",1.916
"boys",46.8,"-4SD",1.929
"boys",46.9,"-4SD",1.941
"boys",47,"-4SD",1.953
"boys",47.1,"-4SD",1.966
"boys",47.2,"-4SD",1.978
"boys",47.3,"-4SD",1.991
"boys",47.4,"-4SD",2.003
"boys",47.5,"-4SD",2.015
"boys",47.6,"-4SD",2.028
"boys",47.7,"-4SD",2.041
"boys",47.8,"-4SD",2.054
"boys",47.9,"-4SD",2.066
"boys",48,"-4SD",2.079
"boys",48.1,"-4SD",2.092
"boys",48.2,"-4SD",2.105
"boys",48.3,"-4SD",2.118
"boys",48.4,"-4SD",2.131
"boys",48.5,"-4SD",2.145
"boys",48.6,"-4SD",2.158
"boys",48.7,"-4SD",2.172
"boys",48.8,"-4SD",2.185
"boys",48.9,"-4SD",2.199
"boys",49,"-4SD",2.213
"boys",49.1,"-4SD",2.227
"boys",49.2,"-4SD",2.241
"boys",49.3,"-4SD",2.255
"boys",49.4,"-4SD",2.269
"boys",49.5,"-4SD",2.284
"boys",49.6,"-4SD",2.298
"boys",49.7,"-4SD",2.313
"boys",49.8,"-4SD",2.328
"boys",49.9,"-4SD",2.342
"boys",50,"-4SD",2.357
"boys",50.1,"-4SD",2.372
"boys",50.2,"-4SD",2.387
"boys",50.3,"-4SD",2.403
"boys",50.4,"-4SD",2.418
"boys",50.5,"-4SD",2.433
"boys",50.6,"-4SD",2.449
"boys",50.7,"-4SD",2.464
"boys",50.8,"-4SD",2.48
"boys",50.9,"-4SD",2.496
"boys",51,"-4SD",2.512
"boys",51.1,"-4SD",2.528
"boys",51.2,"-4SD",2.544
"boys",51.3,"-4SD",2.56
"boys",51.4,"-4SD",2.576
"boys",51.5,"-4SD",2.593
"boys",51.6,"-4SD",2.609
"boys",51.7,"-4SD",2.626
"boys",51.8,"-4SD",2.643
"boys",51.9,"-4SD",2.66
"boys",52,"-4SD",2.677
"boys",52.1,"-4SD",2.694
"boys",52.2,"-4SD",2.712
"boys",52.3,"-4SD",2.729
"boys",52.4,"-4SD",2.747
"boys",52.5,"-4SD",2.765
"boys",52.6,"-4SD",2.783
"boys",52.7,"-4SD",2.801
"boys",52.8,"-4SD",2.82
"boys",52.9,"-4SD",2.838
"boys",53,"-4SD",2.857
"boys",53.1,"-4SD",2.876
"boys",53.2,"-4SD",2.895
"boys",53.3,"-4SD",2.914
"boys",53.4,"-4SD",2.933
"boys",53.5,"-4SD",2.953
"boys",53.6,"-4SD",2.972
"boys",53.7,"-4SD",2.992
"boys",53.8,"-4SD",3.012
"boys",53.9,"-4SD",3.032
"boys",54,"-4SD",3.052
"boys",54.1,"-4SD",3.072
"boys",54.2,"-4SD",3.092
"boys",54.3,"-4SD",3.112
"boys",54.4,"-4SD",3.133
"boys",54.5,"-4SD",3.153
"boys",54.6,"-4SD",3.174
"boys",54.7,"-4SD",3.195
"boys",54.8,"-4SD",3.215
"boys",54.9,"-4SD",3.236
"boys",55,"-4SD",3.257
"boys",55.1,"-4SD",3.278
"boys",55.2,"-4SD",3.299
"boys",55.3,"-4SD",3.32
"boys",55.4,"-4SD",3.342
"boys",55.5,"-4SD",3.363
"boys",55.6,"-4SD",3.384
"boys",55.7,"-4SD",3.406
"boys",55.8,"-4SD",3.427
"boys",55.9,"-4SD",3.449
"boys",56,"-4SD",3.47
"boys",56.1,"-4SD",3.492
"boys",56.2,"-4SD",3.514
"boys",56.3,"-4SD",3.535
"boys",56.4,"-4SD",3.557
"boys",56.5,"-4SD",3.579
"boys",56.6,"-4SD",3.6
"boys",56.7,"-4SD",3.622
"boys",56.8,"-4SD",3.644
"boys",56.9,"-4SD",3.666
"boys",57,"-4SD",3.687
"boys",57.1,"-4SD",3.709
"boys",57.2,"-4SD",3.731
"boys",57.3,"-4SD",3.753
"boys",57.4,"-4SD",3.775
"boys",57.5,"-4SD",3.796
"boys",57.6,"-4SD",3.818
"boys",57.7,"-4SD",3.84
"boys",57.8,"-4SD",3.862
"boys",57.9,"-4SD",3.884
"boys",58,"-4SD",3.905
"boys",58.1,"-4SD",3.927
"boys",58.2,"-4SD",3.949
"boys",58.3,"-4SD",3.97
"boys",58.4,"-4SD",3.992
"boys",58.5,"-4SD",4.013
"boys",58.6,"-4SD",4.035
"boys",58.7,"-4SD",4.056
"boys",58.8,"-4SD",4.078
"boys",58.9,"-4SD",4.1
"boys",59,"-4SD",4.121
"boys",59.1,"-4SD",4.142
"boys",59.2,"-4SD",4.164
"boys",59.3,"-4SD",4.185
"boys",59.4,"-4SD",4.206
"boys",59.5,"-4SD",4.227
"boys",59.6,"-4SD",4.249
"boys",59.7,"-4SD",4.27
"boys",59.8,"-4SD",4.291
"boys",59.9,"-4SD",4.311
"boys",60,"-4SD",4.332
"boys",60.1,"-4SD",4.353
"boys",60.2,"-4SD",4.374
"boys",60.3,"-4SD",4.394
"boys",60.4,"-4SD",4.414
"boys",60.5,"-4SD",4.435
"boys",60.6,"-4SD",4.455
"boys",60.7,"-4SD",4.475
"boys",60.8,"-4SD",4.495
"boys",60.9,"-4SD",4.515
"boys",61,"-4SD",4.535
"boys",61.1,"-4SD",4.555
"boys",61.2,"-4SD",4.575
"boys",61.3,"-4SD",4.595
"boys",61.4,"-4SD",4.614
"boys",61.5,"-4SD",4.634
"boys",61.6,"-4SD",4.653
"boys",61.7,"-4SD",4.672
"boys",61.8,"-4SD",4.692
"boys",61.9,"-4SD",4.711
"boys",62,"-4SD",4.73
"boys",62.1,"-4SD",4.749
"boys",62.2,"-4SD",4.768
"boys",62.3,"-4SD",4.787
"boys",62.4,"-4SD",4.806
"boys",62.5,"-4SD",4.825
"boys",62.6,"-4SD",4.844
"boys",62.7,"-4SD",4.862
"boys",62.8,"-4SD",4.881
"boys",62.9,"-4SD",4.9
"boys",63,"-4SD",4.918
"boys",63.1,"-4SD",4.937
"boys",63.2,"-4SD",4.955
"boys",63.3,"-4SD",4.974
"boys",63.4,"-4SD",4.992
"boys",63.5,"-4SD",5.01
"boys",63.6,"-4SD",5.029
"boys",63.7,"-4SD",5.047
"boys",63.8,"-4SD",5.065
"boys",63.9,"-4SD",5.083
"boys",64,"-4SD",5.101
"boys",64.1,"-4SD",5.119
"boys",64.2,"-4SD",5.137
"boys",64.3,"-4SD",5.155
"boys",64.4,"-4SD",5.173
"boys",64.5,"-4SD",5.19
"boys",64.6,"-4SD",5.208
"boys",64.7,"-4SD",5.226
"boys",64.8,"-4SD",5.244
"boys",64.9,"-4SD",5.261
"boys",65,"-4SD",5.279
"boys",65.1,"-4SD",5.296
"boys",65.2,"-4SD",5.314
"boys",65.3,"-4SD",5.331
"boys",65.4,"-4SD",5.349
"boys",65.5,"-4SD",5.366
"boys",65.6,"-4SD",5.383
"boys",65.7,"-4SD",5.401
"boys",65.8,"-4SD",5.418
"boys",65.9,"-4SD",5.435
"boys",66,"-4SD",5.452
"boys",66.1,"-4SD",5.47
"boys",66.2,"-4SD",5.487
"boys",66.3,"-4SD",5.504
"boys",66.4,"-4SD",5.521
"boys",66.5,"-4SD",5.538
"boys",66.6,"-4SD",5.555
"boys",66.7,"-4SD",5.572
"boys",66.8,"-4SD",5.589
"boys",66.9,"-4SD",5.606
"boys",67,"-4SD",5.623
"boys",67.1,"-4SD",5.64
"boys",67.2,"-4SD",5.656
"boys",67.3,"-4SD",5.673
"boys",67.4,"-4SD",5.69
"boys",67.5,"-4SD",5.707
"boys",67.6,"-4SD",5.724
"boys",67.7,"-4SD",5.74
"boys",67.8,"-4SD",5.757
"boys",67.9,"-4SD",5.773
"boys",68,"-4SD",5.79
"boys",68.1,"-4SD",5.806
"boys",68.2,"-4SD",5.823
"boys",68.3,"-4SD",5.839
"boys",68.4,"-4SD",5.856
"boys",68.5,"-4SD",5.872
"boys",68.6,"-4SD",5.889
"boys",68.7,"-4SD",5.905
"boys",68.8,"-4SD",5.922
"boys",68.9,"-4SD",5.938
"boys",69,"-4SD",5.954
"boys",69.1,"-4SD",5.971
"boys",69.2,"-4SD",5.987
"boys",69.3,"-4SD",6.003
"boys",69.4,"-4SD",6.02
"boys",69.5,"-4SD",6.036
"boys",69.6,"-4SD",6.052
"boys",69.7,"-4SD",6.068
"boys",69.8,"-4SD",6.085
"boys",69.9,"-4SD",6.101
"boys",70,"-4SD",6.117
"boys",70.1,"-4SD",6.133
"boys",70.2,"-4SD",6.15
"boys",70.3,"-4SD",6.166
"boys",70.4,"-4SD",6.182
"boys",70.5,"-4SD",6.198
"boys",70.6,"-4SD",6.214
"boys",70.7,"-4SD",6.23
"boys",70.8,"-4SD",6.246
"boys",70.9,"-4SD",6.262
"boys",71,"-4SD",6.278
"boys",71.1,"-4SD",6.294
"boys",71.2,"-4SD",6.31
"boys",71.3,"-4SD",6.326
"boys",71.4,"-4SD",6.341
"boys",71.5,"-4SD",6.357
"boys",71.6,"-4SD",6.373
"boys",71.7,"-4SD",6.389
"boys",71.8,"-4SD",6.404
"boys",71.9,"-4SD",6.42
"boys",72,"-4SD",6.436
"boys",72.1,"-4SD",6.451
"boys",72.2,"-4SD",6.467
"boys",72.3,"-4SD",6.482
"boys",72.4,"-4SD",6.498
"boys",72.5,"-4SD",6.513
"boys",72.6,"-4SD",6.528
"boys",72.7,"-4SD",6.544
"boys",72.8,"-4SD",6.559
"boys",72.9,"-4SD",6.574
"boys",73,"-4SD",6.589
"boys",73.1,"-4SD",6.604
"boys",73.2,"-4SD",6.619
"boys",73.3,"-4SD",6.635
"boys",73.4,"-4SD",6.65
"boys",73.5,"-4SD",6.664
"boys",73.6,"-4SD",6.679
"boys",73.7,"-4SD",6.694
"boys",73.8,"-4SD",6.709
"boys",73.9,"-4SD",6.724
"boys",74,"-4SD",6.739
"boys",74.1,"-4SD",6.753
"boys",74.2,"-4SD",6.768
"boys",74.3,"-4SD",6.783
"boys",74.4,"-4SD",6.797
"boys",74.5,"-4SD",6.812
"boys",74.6,"-4SD",6.827
"boys",74.7,"-4SD",6.841
"boys",74.8,"-4SD",6.856
"boys",74.9,"-4SD",6.87
"boys",75,"-4SD",6.885
"boys",75.1,"-4SD",6.899
"boys",75.2,"-4SD",6.913
"boys",75.3,"-4SD",6.928
"boys",75.4,"-4SD",6.942
"boys",75.5,"-4SD",6.956
"boys",75.6,"-4SD",6.97
"boys",75.7,"-4SD",6.985
"boys",75.8,"-4SD",6.998
"boys",75.9,"-4SD",7.012
"boys",76,"-4SD",7.026
"boys",76.1,"-4SD",7.041
"boys",76.2,"-4SD",7.055
"boys",76.3,"-4SD",7.068
"boys",76.4,"-4SD",7.082
"boys",76.5,"-4SD",7.096
"boys",76.6,"-4SD",7.11
"boys",76.7,"-4SD",7.123
"boys",76.8,"-4SD",7.137
"boys",76.9,"-4SD",7.151
"boys",77,"-4SD",7.164
"boys",77.1,"-4SD",7.178
"boys",77.2,"-4SD",7.191
"boys",77.3,"-4SD",7.205
"boys",77.4,"-4SD",7.218
"boys",77.5,"-4SD",7.231
"boys",77.6,"-4SD",7.245
"boys",77.7,"-4SD",7.258
"boys",77.8,"-4SD",7.271
"boys",77.9,"-4SD",7.285
"boys",78,"-4SD",7.298
"boys",78.1,"-4SD",7.311
"boys",78.2,"-4SD",7.325
"boys",78.3,"-4SD",7.338
"boys",78.4,"-4SD",7.351
"boys",78.5,"-4SD",7.364
"boys",78.6,"-4SD",7.378
"boys",78.7,"-4SD",7.391
"boys",78.8,"-4SD",7.404
"boys",78.9,"-4SD",7.417
"boys",79,"-4SD",7.431
"boys",79.1,"-4SD",7.444
"boys",79.2,"-4SD",7.457
"boys",79.3,"-4SD",7.471
"boys",79.4,"-4SD",7.484
"boys",79.5,"-4SD",7.497
"boys",79.6,"-4SD",7.511
"boys",79.7,"-4SD",7.524
"boys",79.8,"-4SD",7.538
"boys",79.9,"-4SD",7.551
"boys",80,"-4SD",7.565
"boys",80.1,"-4SD",7.579
"boys",80.2,"-4SD",7.593
"boys",80.3,"-4SD",7.606
"boys",80.4,"-4SD",7.62
"boys",80.5,"-4SD",7.634
"boys",80.6,"-4SD",7.648
"boys",80.7,"-4SD",7.662
"boys",80.8,"-4SD",7.676
"boys",80.9,"-4SD",7.691
"boys",81,"-4SD",7.705
"boys",81.1,"-4SD",7.72
"boys",81.2,"-4SD",7.734
"boys",81.3,"-4SD",7.749
"boys",81.4,"-4SD",7.763
"boys",81.5,"-4SD",7.778
"boys",81.6,"-4SD",7.793
"boys",81.7,"-4SD",7.808
"boys",81.8,"-4SD",7.823
"boys",81.9,"-4SD",7.839
"boys",82,"-4SD",7.854
"boys",82.1,"-4SD",7.869
"boys",82.2,"-4SD",7.885
"boys",82.3,"-4SD",7.901
"boys",82.4,"-4SD",7.916
"boys",82.5,"-4SD",7.932
"boys",82.6,"-4SD",7.948
"boys",82.7,"-4SD",7.965
"boys",82.8,"-4SD",7.981
"boys",82.9,"-4SD",7.997
"boys",83,"-4SD",8.014
"boys",83.1,"-4SD",8.03
"boys",83.2,"-4SD",8.047
"boys",83.3,"-4SD",8.064
"boys",83.4,"-4SD",8.081
"boys",83.5,"-4SD",8.098
"boys",83.6,"-4SD",8.116
