"sex","month","days","l","m","s"
1,60,1825,-0.72895,16.51891,0.0867
1,61,1855.41666666667,-0.75845,16.55158,0.08699
1,62,1885.83333333333,-0.78927,16.58562,0.08728
1,63,1916.25,-0.82138,16.62121,0.08758
1,64,1946.66666666667,-0.85473,16.65854,0.08789
1,65,1977.08333333333,-0.88928,16.69781,0.08819
1,66,2007.5,-0.92496,16.73915,0.08851
1,67,2037.91666666667,-0.96164,16.78248,0.08882
1,68,2068.33333333333,-0.99919,16.82768,0.08915
1,69,2098.75,-1.03745,16.87463,0.08948
1,70,2129.16666666667,-1.07629,16.92319,0.08981
1,71,2159.58333333333,-1.11556,16.97324,0.09015
1,72,2190,-1.15511,17.02466,0.09049
1,73,2220.41666666667,-1.1948,17.07731,0.09084
1,74,2250.83333333333,-1.23449,17.13106,0.0912
1,75,2281.25,-1.27403,17.18581,0.09156
1,76,2311.66666666667,-1.31328,17.2414,0.09193
1,77,2342.08333333333,-1.3521,17.29773,0.09231
1,78,2372.5,-1.39034,17.35466,0.09269
1,79,2402.91666666667,-1.42785,17.41207,0.09308
1,80,2433.33333333333,-1.4645,17.46982,0.09347
1,81,2463.75,-1.50018,17.52784,0.09388
1,82,2494.16666666667,-1.53485,17.58607,0.09428
1,83,2524.58333333333,-1.5685,17.64449,0.0947
1,84,2555,-1.60108,17.70307,0.09512
1,85,2585.41666666667,-1.63258,17.76178,0.09555
1,86,2615.83333333333,-1.66297,17.82059,0.09598
1,87,2646.25,-1.69222,17.87946,0.09642
1,88,2676.66666666667,-1.7203,17.93836,0.09687
1,89,2707.08333333333,-1.74719,17.99727,0.09732
1,90,2737.5,-1.77285,18.05615,0.09778
1,91,2767.91666666667,-1.79727,18.11498,0.09824
1,92,2798.33333333333,-1.8204,18.17371,0.09871
1,93,2828.75,-1.84224,18.23233,0.09918
1,94,2859.16666666667,-1.86274,18.2908,0.09966
1,95,2889.58333333333,-1.88189,18.34908,0.10014
1,96,2920,-1.89968,18.40721,0.10063
1,97,2950.41666666667,-1.91614,18.46524,0.10112
1,98,2980.83333333333,-1.93128,18.52324,0.10162
1,99,3011.25,-1.94514,18.58127,0.10211
1,100,3041.66666666667,-1.95773,18.63939,0.10262
1,101,3072.08333333333,-1.96908,18.69765,0.10312
1,102,3102.5,-1.9792,18.75613,0.10363
1,103,3132.91666666667,-1.98813,18.81489,0.10414
1,104,3163.33333333333,-1.99588,18.87398,0.10465
1,105,3193.75,-2.00248,18.93347,0.10516
1,106,3224.16666666667,-2.00795,18.99342,0.10568
1,107,3254.58333333333,-2.01231,19.05389,0.10619
1,108,3285,-2.01558,19.11495,0.10671
1,109,3315.41666666667,-2.0178,19.17665,0.10722
1,110,3345.83333333333,-2.01897,19.23906,0.10774
1,111,3376.25,-2.01912,19.30221,0.10825
1,112,3406.66666666667,-2.01828,19.36613,0.10877
1,113,3437.08333333333,-2.01647,19.43088,0.10928
1,114,3467.5,-2.01371,19.49646,0.10979
1,115,3497.91666666667,-2.01004,19.56293,0.11029
1,116,3528.33333333333,-2.00546,19.63031,0.1108
1,117,3558.75,-2,19.69863,0.1113
1,118,3589.16666666667,-1.9937,19.76794,0.11179
1,119,3619.58333333333,-1.98657,19.83825,0.11228
1,120,3650,-1.97863,19.90962,0.11277
1,121,3680.41666666667,-1.96991,19.98207,0.11325
1,122,3710.83333333333,-1.96043,20.05563,0.11372
1,123,3741.25,-1.95022,20.13034,0.11419
1,124,3771.66666666667,-1.9393,20.20623,0.11465
1,125,3802.08333333333,-1.9277,20.28334,0.1151
1,126,3832.5,-1.91544,20.36166,0.11554
1,127,3862.91666666667,-1.90255,20.44122,0.11597
1,128,3893.33333333333,-1.88906,20.52201,0.1164
1,129,3923.75,-1.87501,20.60406,0.11681
1,130,3954.16666666667,-1.86041,20.68738,0.11721
1,131,3984.58333333333,-1.8453,20.77196,0.11761
