"indicator","sex","given","l","m","s"
"wfh",1,45,-0.3521,2.441,0.09182
"wfh",1,45.1,-0.3521,2.4577,0.09176
"wfh",1,45.2,-0.3521,2.4744,0.0917
"wfh",1,45.3,-0.3521,2.4911,0.09164
"wfh",1,45.4,-0.3521,2.5078,0.09159
"wfh",1,45.5,-0.3521,2.5244,0.09153
"wfh",1,45.6,-0.3521,2.5411,0.09147
"wfh",1,45.7,-0.3521,2.5578,0.09141
"wfh",1,45.8,-0.3521,2.5744,0.09135
"wfh",1,45.9,-0.3521,2.5911,0.09129
"wfh",1,46,-0.3521,2.6077,0.09124
"wfh",1,46.1,-0.3521,2.6244,0.09118
"wfh",1,46.2,-0.3521,2.6411,0.09112
"wfh",1,46.3,-0.3521,2.6578,0.09106
"wfh",1,46.4,-0.3521,2.6745,0.091
"wfh",1,46.5,-0.3521,2.6913,0.09094
"wfh",1,46.6,-0.3521,2.7081,0.09088
"wfh",1,46.7,-0.3521,2.7249,0.09083
"wfh",1,46.8,-0.3521,2.7417,0.09077
"wfh",1,46.9,-0.3521,2.7586,0.09071
"wfh",1,47,-0.3521,2.7755,0.09065
"wfh",1,47.1,-0.3521,2.7925,0.09059
"wfh",1,47.2,-0.3521,2.8095,0.09053
"wfh",1,47.3,-0.3521,2.8266,0.09047
"wfh",1,47.4,-0.3521,2.8437,0.09042
"wfh",1,47.5,-0.3521,2.8609,0.09036
"wfh",1,47.6,-0.3521,2.8782,0.0903
"wfh",1,47.7,-0.3521,2.8955,0.09024
"wfh",1,47.8,-0.3521,2.9129,0.09018
"wfh",1,47.9,-0.3521,2.9304,0.09012
"wfh",1,48,-0.3521,2.948,0.09007
"wfh",1,48.1,-0.3521,2.9657,0.09001
"wfh",1,48.2,-0.3521,2.9835,0.08995
"wfh",1,48.3,-0.3521,3.0014,0.08989
"wfh",1,48.4,-0.3521,3.0195,0.08983
"wfh",1,48.5,-0.3521,3.0377,0.08977
"wfh",1,48.6,-0.3521,3.056,0.08972
"wfh",1,48.7,-0.3521,3.0745,0.08966
"wfh",1,48.8,-0.3521,3.0931,0.0896
"wfh",1,48.9,-0.3521,3.1119,0.08954
"wfh",1,49,-0.3521,3.1308,0.08948
"wfh",1,49.1,-0.3521,3.1499,0.08943
"wfh",1,49.2,-0.3521,3.1691,0.08937
"wfh",1,49.3,-0.3521,3.1884,0.08931
"wfh",1,49.4,-0.3521,3.2079,0.08925
"wfh",1,49.5,-0.3521,3.2276,0.08919
"wfh",1,49.6,-0.3521,3.2473,0.08913
"wfh",1,49.7,-0.3521,3.2672,0.08908
"wfh",1,49.8,-0.3521,3.2873,0.08902
"wfh",1,49.9,-0.3521,3.3075,0.08896
"wfh",1,50,-0.3521,3.3278,0.0889
"wfh",1,50.1,-0.3521,3.3482,0.08884
"wfh",1,50.2,-0.3521,3.3688,0.08878
"wfh",1,50.3,-0.3521,3.3894,0.08872
"wfh",1,50.4,-0.3521,3.4102,0.08867
"wfh",1,50.5,-0.3521,3.4311,0.08861
"wfh",1,50.6,-0.3521,3.4522,0.08855
"wfh",1,50.7,-0.3521,3.4733,0.08849
"wfh",1,50.8,-0.3521,3.4946,0.08843
"wfh",1,50.9,-0.3521,3.5161,0.08837
"wfh",1,51,-0.3521,3.5376,0.08831
"wfh",1,51.1,-0.3521,3.5593,0.08825
"wfh",1,51.2,-0.3521,3.5812,0.08819
"wfh",1,51.3,-0.3521,3.6032,0.08813
"wfh",1,51.4,-0.3521,3.6254,0.08807
"wfh",1,51.5,-0.3521,3.6477,0.08801
"wfh",1,51.6,-0.3521,3.6702,0.08795
"wfh",1,51.7,-0.3521,3.6929,0.08789
"wfh",1,51.8,-0.3521,3.7157,0.08783
"wfh",1,51.9,-0.3521,3.7388,0.08777
"wfh",1,52,-0.3521,3.762,0.08771
"wfh",1,52.1,-0.3521,3.7855,0.08765
"wfh",1,52.2,-0.3521,3.8092,0.08759
"wfh",1,52.3,-0.3521,3.833,0.08753
"wfh",1,52.4,-0.3521,3.8571,0.08747
"wfh",1,52.5,-0.3521,3.8814,0.08741
"wfh",1,52.6,-0.3521,3.9059,0.08735
"wfh",1,52.7,-0.3521,3.9306,0.08729
"wfh",1,52.8,-0.3521,3.9555,0.08723
"wfh",1,52.9,-0.3521,3.9806,0.08717
"wfh",1,53,-0.3521,4.006,0.08711
"wfh",1,53.1,-0.3521,4.0315,0.08705
"wfh",1,53.2,-0.3521,4.0572,0.08699
"wfh",1,53.3,-0.3521,4.0831,0.08693
"wfh",1,53.4,-0.3521,4.1092,0.08687
"wfh",1,53.5,-0.3521,4.1354,0.08681
"wfh",1,53.6,-0.3521,4.1619,0.08675
"wfh",1,53.7,-0.3521,4.1885,0.08669
"wfh",1,53.8,-0.3521,4.2153,0.08663
"wfh",1,53.9,-0.3521,4.2422,0.08657
"wfh",1,54,-0.3521,4.2693,0.08651
"wfh",1,54.1,-0.3521,4.2965,0.08645
"wfh",1,54.2,-0.3521,4.3239,0.08639
"wfh",1,54.3,-0.3521,4.3513,0.08633
"wfh",1,54.4,-0.3521,4.3789,0.08627
"wfh",1,54.5,-0.3521,4.4066,0.08621
"wfh",1,54.6,-0.3521,4.4344,0.08615
"wfh",1,54.7,-0.3521,4.4623,0.0861
"wfh",1,54.8,-0.3521,4.4903,0.08604
"wfh",1,54.9,-0.3521,4.5185,0.08598
"wfh",1,55,-0.3521,4.5467,0.08592
"wfh",1,55.1,-0.3521,4.575,0.08586
"wfh",1,55.2,-0.3521,4.6034,0.0858
